name,price,rating,review_count,address,city,state,zip_code
Rancho La Perla,$,4.0,46,3700 Van Buren Blvd,Riverside,CA,92503
Baguette Bakery & Cafe,$,4.0,141,767 W Blaine St,Riverside,CA,92507
Emerbee's,,3.5,8,900 University Ave,Riverside,CA,92521
Mariachis El Nori,$$,4.0,3,4920 Jackson St,Riverside,CA,92503
Deliziosas Pupusas,,3.5,4,4080 Lemon St,Riverside,CA,92501
In-N-Out Burger,$,3.0,157,6634 Clay,Riverside,CA,92509
Star Burgers,$,4.0,47,7207 Arlington Ave,Riverside,CA,92503
The Habit Burger Grill,$,4.0,167,3510 Tyler St,Riverside,CA,92503
Brisco's Cafe,$,4.0,6,8432 Magnolia Ave,Riverside,CA,92504
Chipotle Mexican Grill,$,2.5,316,3525 Riverside Plaza Dr,Riverside,CA,92506
Thai Kitchen,$,4.5,490,22411 Barton Rd,Grand Terrace,CA,92313
Cano's Market,$,4.5,69,6024 Magnolia Ave,Riverside,CA,92506
Taco Villa,$,4.0,144,8022 Limonite Ave,Riverside,CA,92509
WaBa Grill,$$,2.5,15,6187 Magnolia Ave,Riverside,CA,92506
China Town,$,3.5,130,10935 Magnolia Ave,Riverside,CA,92505
WaBa Grill,$$,4.0,27,5286 Arlington Ave,Riverside,CA,92504
ABC Mongolian BBQ,$,4.0,238,22417 Barton Rd,Grand Terrace,CA,92313
Sizzler,$$,2.5,86,6631 Clay St,Pedley,CA,92509
Tacos La Tapatia,$$,4.0,37,8842 Limonite Ave,Riverside,CA,92509
Castaneda's Mexican Food,$,2.5,154,6751 Indiana Ave,Riverside,CA,92506
Taqueria Valenzuela,,5.0,2,6051 Mission Blvd,Riverside,CA,92509
George's Drive-In,$,3.5,269,9910 Magnolia Ave,Riverside,CA,92503
Krispy Krunchy Chicken,$$,4.0,2,7494 Indiana Ave,Riverside,CA,92504
Dia De Los Puercos,,3.0,150,3605 Market St,Riverside,CA,92501
Restaurant Salvadoreno Usuluteco,$,3.5,38,4650 La Sierra Ave,Riverside,CA,92505
Un Mundo De Sabor Mexican,$,4.0,26,9085 Mission Blvd,Riverside,CA,92509
Restaurante Salvadoreno,$$,3.5,12,4650 La Sierra Ave,Riverside,CA,92505
Dos Pablos,$,4.5,90,9080 Mission Blvd,Riverside,CA,92509
Brandon's Diner,$$,4.0,302,10246 Indiana Ave,Riverside,CA,92503
Lee's Sandwiches,$,4.0,394,1889 University Ave,Riverside,CA,92507
Mexicali Bar & Grill,$$,3.5,74,1690 Spruce St,Riverside,CA,92507
Yoshinoya - University & Iowa UCR,$,2.5,119,1201 University Ave,Riverside,CA,92507
Pick Up Stix,$,3.0,96,3540 Riverside Plaza Dr,Riverside,CA,92506
La Mazorca Market,$,4.0,18,6022 Tyler St,Riverside,CA,92503
Ahumadas Mexican Grill and Tacos,,4.5,6,7614 Evans St,Riverside,CA,92504
Ho Ho Chinese Food,$,2.5,58,3511 Madison St,Riverside,CA,92504
Rubio's,$,3.5,98,1201 University Ave,Riverside,CA,92507
Ray's Ranch Cafe,$$,4.0,70,10459 Arlington Ave,Riverside,CA,92505
Mi Taqueria Poblana,$,4.0,9,6875 Valley Way,Riverside,CA,92509
Los Potrillos Meat Market,$,4.5,19,10330 Hole Ave,Riverside,CA,92505
Juan Pollo,$,3.5,109,6055 Magnolia Ave,Riverside,CA,92506
Wanda's Cafe,$,3.5,13,8432 Magnolia Ave,Riverside,CA,92504
Pixels Bar And Eatery,$$,2.5,169,3535 University Ave,Riverside,CA,92501
Acapulco Pollo,$,4.5,43,8151 Arlington Ave,Riverside,CA,92503
Park Ave Mexican Restaurant,$,4.0,8,4038 Park Ave,Riverside,CA,92507
The HoneyBaked Ham Company - Riverside,$$,4.0,68,5276 Arlington Ave,Riverside,CA,92504
Panera Bread,$$,3.0,324,3560 Riverside Plaza Dr,Riverside,CA,92506
Tortilla Grille,$$,2.5,54,5225 Canyon Crest Dr,Riverside,CA,92507
Original Tommy's Hamburgers-Riverside,$,3.0,106,7504 Mission Grove Pkwy S,Riverside,CA,92508
Mr Taco,$$,3.5,363,2435 Main St,Riverside,CA,92501
M Taco,$,3.0,98,4111 Main St,Riverside,CA,92501
Paracho Mexican and Seafood,$$,3.5,31,8933 Limonite Ave,Riverside,CA,92509
Vicky's Burger,$,4.0,130,8320 Limonite Ave,Riverside,CA,92509
Taqueria Azteca,$,3.5,81,5959 Arlington Ave,Riverside,CA,92504
Fast 5 Pizza,$,4.0,61,5300 Arlington Ave,Riverside,CA,92504
The Hideaway Cafe,$,3.0,312,3660 Mission Inn Ave,Riverside,CA,92501
NORMS Restaurant,$$,3.0,559,3889 Tyler St,Riverside,CA,92503
Mongolian Grill,$,3.0,27,2269 Galleria At Tyler,Riverside,CA,92503
El Silencito,$,4.5,5,1091 Center St,Riverside,CA,92507
Sizzle,,4.0,2,400 W Big Springs Rd,Riverside,CA,92507
Jasmine Garden,$,3.0,79,7990 Limonite Ave,Riverside,CA,92509
Diane's Deli,$,4.0,84,2900 Adams St,Riverside,CA,92504
Stater Bros. Markets,$$,4.0,46,315 E Alessandro Blvd,Riverside,CA,92508
Chipotle Mexican Grill,$,2.5,121,3510 Tyler St,Riverside,CA,92503
The Flame Broiler,$,3.5,67,10303 Magnolia Ave,Riverside,CA,92505
Yoshinoya - Madison,$,2.5,74,3501 Madison St,Riverside,CA,92504
